,전시NO,전시일련번호,전시회명,전시부제,전시장소,전시시작기간,전시끝기간,주최및후원,전시(관람)시간,전시부문,작품수,출품작가,관람포인트,대표이미지,바로가기링크,조회일자,x좌표,y좌표
0,1392274,794,《그림이라는 별세계: 이건희컬렉션과 함께》,,서울시립 북서울미술관,2025-04-30,20250720,"주최: 서울시립미술관, 협력: 경남도립미술관, 국립현대미술관, 대구미술관, 리움미술관, 영은미술관, 유영국미술문화재단, 전남도립미술관, 학고재, 현대화랑",,"회화, 판화",60점,"강요배, 곽인식, 권옥연, 김봉태, 방혜자, 유영국, 이인성, 하인두",,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2025%2F&FILE_NM=20250406111830_c4da8cecb7f148b78c88539f0a0debe1_8b5fc73af1a94064b0dcde48b80b5980,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1392274,2025-04-09,126.9738,37.56424
1,1372958,793,광복80주년 가나아트컬렉션 특별전 《서시: 별을 노래하는 마음으로》,,서울시립미술관 서소문본관,2025-03-20,20251026,,,"회화, 한국화, 드로잉&판화, 사진, 조각, 설치, 뉴미디어",21,"권순철, 김인순, 김정헌, 노순택, 노재운, 류인, 박희선, 손장섭, 송창, 신미정, 신학철, 이반, 이세현, 이용백, 이응노, 임흥순, 전소정, 함경아, 히카루 후지이(Hikaru Fujii)",,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2025%2F&FILE_NM=20250310155823_ef20fe50ef4748e5854b14242111fd68_ba13838b8f4742e7aa7009599802b3f0,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1372958,2025-04-09,126.9738,37.56424
2,1375994,792,우리는 끊임없이 다른 강에 스며든다,,서울시립 미술아카이브,2025-03-06,20250727,,,,,,,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2025%2F&FILE_NM=20250214143826_479e826ac77e4dbbae1bed7ac7fb7e60_3b2642988b484e879f597cec90f6314e,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1375994,2025-04-09,126.9738,37.56424
3,1371760,791,《강명희-방문 Visit》,,서울시립미술관 서소문본관,2025-03-04,20250608,,,회화,125점,강명희,,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2025%2F&FILE_NM=20250206130647_1783cedbd308477e8eaf9b37edf01a93_918e43df6ae143a1bd2d1db60fb6502b,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1371760,2025-04-09,126.9738,37.56424
4,1370756,790,서울시 인재개발원 SeMA 컬렉션 라운지 3호,,기타,2025-01-21,20260120,,월-금 09:00~18:00,"회화, 사진",2,"신현국, 정지현",,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2025%2F&FILE_NM=20250122104802_d452b34df99f45c3b58c41ba204e9d6c_f13e8438ac964c63a5c81c9ff6828d8b,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1370756,2025-04-09,126.9738,37.56424
6,1359547,788,"유휴공간 전시 《멀리서 손바닥으로, 반짝》",,서울시립 북서울미술관,2024-12-17,20250817,,,"조각, 설치, 출판, 관객 참여 퍼포먼스 등",12점,여운혜,,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2025%2F&FILE_NM=20250408151021_1521d422b9d746319b0f6550d3640cf3_a3162674e95343aea0e799513bb7144c,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1359547,2025-04-09,126.9738,37.56424
11,1348834,783,건축의 장면,,서울시립 남서울미술관,2024-11-22,20250601,서울시립미술관,,"영상, 설치",14점,"모스 아키텍츠, 박선민, 박준범, 이윤석, 베카 & 르무안, 홍범, 보비스투 스튜디오, 나나와 펠릭스",,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2024%2F&FILE_NM=20241115092032_f4c4722634e147b9b6b644831fc5b98d_0c8d7f4a7f7943838a40034d4c6b24f1,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1348834,2025-04-09,126.9738,37.56424
12,1355541,782,서울연구원 SeMA 컬렉션 라운지 1호,,기타,2024-11-13,20251112,"서울시립미술관, 서울연구원",월-금 09:00~18:00,"회화, 사진",5점,"김영구, 이득영, 홍성도",,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2024%2F&FILE_NM=20241202103747_a6db9ecec4034fb08064f949806871d2_8347fb4c4edf4e23b331a8369a2dd261,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1355541,2025-04-09,126.9738,37.56424
29,1305078,765,천경자 탄생 100주년 기념 《영혼을 울리는 바람을 향하여》,,서울시립미술관 서소문본관,2024-08-06,20250805,서울시립미술관,,한국화,30여 점,천경자,,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2024%2F&FILE_NM=20240725100928_2cdc33c1db434638aead58943d8f4000_fcccd21e4ee749f99ee343c2cea8ffed,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1305078,2025-04-09,126.9738,37.56424
36,1291102,758,《투명하고 향기 나는 천사의 날개 빛깔처럼》,Celestial Whisper,서울시립 북서울미술관,2024-06-04,20250505,"주최: 서울시립미술관, 협찬: 캔손, 더웬트",,"조각, 드로잉",100여점,신미경,,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2024%2F&FILE_NM=20240823103727_6feef20e109f444c9fd59d86ce79500b_aab2c4c55e7045578ed8243292c637d9,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1291102,2025-04-09,126.9738,37.56424
74,1174182,722,권진규의 영원한 집,,서울시립 남서울미술관,2023-06-01,20250531,"주최: 서울시립미술관 | 후원: (사)권진규기념사업회, 에르메스 코리아",,"조각, 드로잉, 아카이브","작품 26점, 자료 88점",권진규,"- 권진규가 작업에 정진했던 도쿄 무사시노미술학교 시기의 ‘새로운 조각’, ‘오기노 도모’, ‘동등한 인체’와 서울 아틀리에 시기의 ‘내면’, ‘영감’, ‘인연’, ‘귀의’ 등 7개의 소주제로 작품과 자료를 전시하여  권진규의 작품세계를 집약적으로 선보입니다. - 권진규 아틀리에의 목조 가구, 선반, 창틀 등에서 영감을 받은 좌대를 배치하여 마치 아틀리에에서 그의 작품을 둘러보는 듯한 경험을 할 수 있습니다.",http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2023%2F&FILE_NM=20230510150028_53f3377a89374f9cb48c17fc22b340f2_74f04f54318c43e3abd2e7e8df4cc327,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1174182,2025-04-09,126.9738,37.56424
77,1192249,719,상설전 《서도호와 아이들: 아트랜드》,"Do Ho Suh and Children, Artland",서울시립 북서울미술관,2023-05-02,20251231,주최: 서울시립미술관 <br>협찬: 대한산업주식회사,,조각형 설치,관람객 참여형,서도호와 아이들,,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2024%2F&FILE_NM=20240702110210_e08909fb7d2a45279660448050a485aa_0770b973269d4e7b986fff0c0f984762,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1192249,2025-04-09,126.9738,37.56424